iter	Passed	Remaining
425	1934	2607
426	1939	2602
427	1943	2597
428	1948	2593
429	1952	2588
430	1956	2583
431	1961	2578
432	1965	2573
433	1969	2569
434	1974	2564
435	1978	2559
436	1982	2554
437	1987	2549
438	1991	2545
439	1995	2540
440	2000	2535
441	2012	2540
442	2018	2537
443	2023	2533
444	2027	2529
445	2032	2524
446	2037	2520
447	2041	2515
448	2045	2510
449	2050	2506
450	2054	2501
451	2059	2497
452	2064	2492
453	2069	2488
454	2073	2484
455	2078	2479
456	2082	2474
457	2087	2470
458	2092	2466
459	2096	2461
460	2101	2457
461	2106	2452
462	2110	2448
463	2115	2443
464	2119	2439
465	2124	2434
466	2128	2429
467	2132	2424
468	2137	2420
469	2141	2415
470	2152	2417
471	2157	2413
472	2161	2408
473	2166	2403
474	2170	2398
475	2174	2394
476	2179	2389
477	2183	2384
478	2188	2379
479	2192	2375
480	2197	2370
481	2201	2365
482	2205	2360
483	2210	2356
484	2215	2352
485	2219	2347
486	2223	2342
487	2227	2337
488	2232	2332
489	2236	2328
490	2241	2323
491	2246	2319
492	2250	2314
493	2255	2309
494	2259	2305
495	2264	2300
496	2268	2296
497	2273	2291
498	2278	2287
499	2282	2282
500	2287	2278
501	2292	2274
502	2296	2269
503	2301	2264
504	2306	2260
505	2311	2256
506	2316	2252
507	2320	2247
508	2324	2242
509	2329	2237
510	2333	2232
511	2337	2227
512	2342	2223
513	2346	2218
514	2350	2213
515	2355	2209
516	2360	2204
517	2364	2200
518	2368	2195
519	2373	2190
520	2377	2185
521	2381	2180
522	2385	2176
523	2390	2171
524	2394	2166
525	2399	2162
526	2404	2157
527	2408	2152
528	2412	2148
529	2417	2143
530	2421	2138
531	2425	2134
532	2430	2129
533	2434	2124
534	2439	2119
535	2443	2115
536	2447	2110
537	2452	2106
538	2456	2101
539	2461	2096
540	2466	2092
541	2471	2088
542	2475	2083
543	2480	2079
544	2485	2074
545	2489	2070
546	2494	2065
547	2498	2060
548	2503	2056
549	2507	2051
550	2512	2047
551	2516	2042
552	2521	2037
553	2525	2033
554	2529	2028
555	2535	2024
556	2539	2019
557	2543	2014
558	2548	2010
559	2552	2005
560	2556	2000
561	2560	1995
562	2565	1991
563	2570	1987
564	2574	1982
565	2579	1977
566	2583	1973
567	2587	1968
568	2592	1963
569	2596	1958
570	2601	1954
571	2605	1949
572	2609	1944
573	2614	1940
574	2618	1935
575	2622	1930
576	2627	1925
577	2631	1921
578	2635	1916
579	2639	1911
580	2644	1906
581	2648	1902
582	2653	1897
583	2657	1892
584	2662	1888
585	2666	1884
586	2671	1879
587	2675	1874
588	2680	1870
589	2685	1866
590	2690	1861
591	2694	1857
592	2699	1852
593	2704	1848
594	2709	1844
595	2714	1839
596	2718	1835
597	2723	1830
598	2727	1826
599	2732	1821
600	2736	1816
601	2741	1812
602	2746	1808
603	2751	1804
604	2756	1799
605	2760	1794
606	2764	1790
607	2769	1785
608	2774	1781
609	2778	1776
610	2782	1771
611	2787	1767
612	2791	1762
613	2795	1757
614	2800	1752
615	2804	1748
616	2809	1743
617	2813	1739
618	2817	1734
619	2822	1729
620	2826	1725
621	2830	1720
622	2834	1715
623	2839	1710
624	2843	1706
625	2847	1701
626	2852	1697
627	2857	1692
628	2861	1687
629	2865	1683
630	2870	1678
631	2874	1673
632	2878	1669
633	2883	1664
634	2888	1660
635	2892	1655
636	2896	1650
637	2901	1646
638	2906	1641
639	2910	1637
640	2914	1632
641	2919	1627
642	2923	1623
643	2928	1618
644	2933	1614
645	2937	1609
646	2942	1605
647	2946	1600
648	2951	1596
649	2955	1591
650	2960	1586
651	2965	1582
652	2969	1578
653	2974	1573
654	2978	1568
655	2982	1564
656	2987	1559
657	2992	1555
658	2996	1550
659	3001	1546
660	3006	1541
661	3010	1537
662	3014	1532
663	3019	1527
664	3023	1523
665	3028	1518
666	3032	1514
667	3036	1509
668	3041	1504
669	3045	1500
670	3049	1495
671	3054	1490
672	3058	1486
673	3062	1481
674	3067	1476
675	3071	1472
676	3075	1467
677	3079	1462
678	3084	1458
679	3088	1453
680	3093	1448
681	3097	1444
682	3101	1439
683	3106	1434
684	3110	1430
685	3114	1425
686	3118	1420
687	3123	1416
688	3127	1411
689	3131	1406
690	3135	1402
691	3140	1397
692	3144	1393
693	3149	1388
694	3153	1384
695	3158	1379
696	3162	1375
697	3167	1370
698	3172	1366
699	3176	1361
700	3181	1357
701	3185	1352
702	3190	1347
703	3194	1343
704	3199	1338
705	3204	1334
706	3209	1329
707	3213	1325
708	3218	1321
709	3222	1316
710	3227	1311
711	3231	1307
712	3236	1302
713	3240	1298
714	3245	1293
715	3249	1288
716	3254	1284
717	3258	1279
718	3262	1275
719	3267	1270
720	3272	1266
721	3275	1261
722	3280	1256
723	3284	1252
724	3288	1247
725	3293	1242
726	3298	1238
727	3302	1233
728	3306	1229
729	3310	1224
730	3315	1220
731	3319	1215
732	3324	1210
733	3329	1206
734	3333	1201
735	3337	1197
736	3341	1192
737	3346	1187
738	3350	1183
739	3354	1178
740	3359	1174
741	3364	1169
742	3369	1165
743	3373	1160
744	3378	1156
745	3382	1151
746	3386	1147
747	3391	1142
748	3396	1138
749	3400	1133
750	3405	1129
751	3410	1124
752	3415	1120
753	3419	1115
754	3424	1111
755	3428	1106
756	3433	1102
757	3438	1097
758	3443	1093
759	3447	1088
760	3451	1084
761	3455	1079
762	3460	1074
763	3464	1070
764	3469	1065
765	3473	1061
766	3478	1056
767	3482	1051
768	3486	1047
769	3491	1042
770	3496	1038
771	3500	1033
772	3505	1029
773	3509	1024
774	3513	1020
775	3517	1015
776	3522	1011
777	3526	1006
778	3531	1001
779	3535	997
780	3540	992
781	3544	988
782	3548	983
783	3553	978
784	3557	974
785	3562	969
786	3565	965
787	3571	960
788	3575	956
789	3579	951
790	3583	946
791	3588	942
792	3592	937
793	3597	933
794	3602	928
795	3607	924
796	3611	919
797	3616	915
798	3620	910
799	3625	906
800	3629	901
801	3634	897
802	3639	892
803	3643	888
804	3648	883
805	3652	879
806	3657	874
807	3661	870
808	3666	865
809	3670	861
810	3675	856
811	3679	851
812	3684	847
813	3688	842
814	3693	838
815	3698	833
816	3702	829
817	3707	824
818	3711	820
819	3716	815
820	3720	811
821	3724	806
822	3728	801
823	3733	797
824	3737	792
825	3741	788
826	3746	783
827	3750	779
828	3755	774
829	3759	770
830	3764	765
831	3768	760
832	3772	756
833	3776	751
834	3781	747
835	3785	742
836	3789	738
837	3794	733
838	3799	729
839	3803	724
840	3808	719
841	3812	715
842	3816	710
843	3821	706
844	3825	701
845	3830	697
846	3834	692
847	3839	688
848	3843	683
849	3848	679
850	3852	674
851	3857	670
852	3861	665
853	3866	660
854	3870	656
855	3874	651
856	3879	647
857	3884	642
858	3888	638
859	3893	633
860	3897	629
861	3902	624
862	3906	620
863	3910	615
864	3915	611
865	3919	606
866	3924	601
867	3928	597
868	3932	592
869	3937	588
870	3941	583
871	3945	579
872	3950	574
873	3954	570
874	3958	565
875	3963	561
876	3967	556
877	3971	551
878	3975	547
879	3980	542
880	3985	538
881	3989	533
882	3993	529
883	3997	524
884	4002	520
885	4006	515
886	4010	510
887	4015	506
888	4019	501
