iter	Logloss
0	0.6436034069
1	0.6034185311
2	0.5683750978
3	0.5428445925
4	0.5180857835
5	0.4995086377
6	0.4805353556
7	0.4632982452
8	0.4489404234
9	0.4387734776
10	0.4284106847
11	0.419381567
12	0.4110693779
13	0.4027757586
14	0.3968631511
15	0.3911392539
16	0.3855254227
17	0.3790488266
18	0.3751775153
19	0.3719121747
20	0.3691255108
21	0.3664359191
22	0.3632411382
23	0.3597657543
24	0.3581271536
25	0.3564248038
26	0.3549923649
27	0.35303543
28	0.351487985
29	0.3504738812
30	0.3490545625
31	0.3477154498
32	0.3456987097
33	0.3452143475
34	0.3435622173
35	0.3423343897
36	0.3412109246
37	0.340449058
38	0.3396943195
39	0.3389597558
40	0.3387809126
41	0.3375418727
42	0.336780216
43	0.3361125905
44	0.3354338861
45	0.3346229789
46	0.3340769214
47	0.3330348821
48	0.3322269231
49	0.331382969
50	0.3309139683
51	0.329889566
52	0.3293135262
53	0.3282137154
54	0.3270598288
55	0.3262412369
56	0.3254897217
57	0.325019777
58	0.3241918844
59	0.3238695126
60	0.3234028351
61	0.3229669758
62	0.3226981071
63	0.3219049291
64	0.3212849474
65	0.3210199283
66	0.3203572582
67	0.3201292154
68	0.3194776831
69	0.3188914886
70	0.3186528474
71	0.3182197834
72	0.3178650214
73	0.317706211
74	0.3171617725
75	0.3168640468
76	0.3166238106
77	0.3162640726
78	0.3159227152
79	0.3153929155
80	0.3151361305
81	0.3147097845
82	0.3143639049
83	0.3139555563
84	0.3137031498
85	0.3132472577
86	0.3129239457
87	0.3125311263
88	0.3121959998
89	0.3119597281
90	0.3117306688
91	0.3113870987
92	0.311110036
93	0.3107276655
94	0.3105240805
95	0.3102163862
96	0.3099005888
97	0.3094729805
98	0.3091173064
99	0.308730197
100	0.3084731028
101	0.3081292382
102	0.3078517594
103	0.3075707336
104	0.3072939784
105	0.3070288759
106	0.3067250025
107	0.3063206714
108	0.306078413
109	0.3057539672
110	0.3054486491
111	0.3051347884
112	0.3047278544
113	0.3044445516
114	0.3041872161
115	0.3038749834
116	0.3036649457
117	0.3032887949
118	0.3029420273
119	0.3026993142
120	0.3025052229
121	0.3022846932
122	0.3020626218
123	0.3017642818
124	0.3014048302
125	0.3011506014
126	0.3007918392
127	0.3005011095
128	0.3002142641
129	0.2999712766
130	0.2995790165
131	0.2993799882
132	0.2992346464
133	0.2988773509
134	0.298536519
135	0.298292683
136	0.2980217426
137	0.2976755685
